Recipe,Ingredients,Link to the whole recipe,Suitable for Vegans
"Crock Pot Turkey, Bean &amp; Bacon Dip","bacon, baked beans, black beans, brown sugar, celery, cider vinegar, green pepper, hot sauce, jalapeno, ketchup, kidney bean, turkey, onions, tomato, dijon mustard",http://www.recipezaar.com/Crock-Pot-Turkey-Bean-Bacon-Dip-330896,False
Avocado and Lime With Bacon on Toast,"avocado, butter, rye bread, parsley, lime juice, bacon",http://www.recipezaar.com/Avocado-and-Lime-With-Bacon-on-Toast-117619,False
Baked Bacon (Oven Fried Bacon),"bacon, vegetable oil",http://www.recipezaar.com/Baked-Bacon-Oven-Fried-Bacon-187790,True
Cheese &amp; Bacon Breakfast Muffins,"bacon, baking powder, black pepper, butter, mushroom, cheese, chives, eggs, milk, olive oil, flour, salt",http://www.recipezaar.com/Cheese-Bacon-Breakfast-Muffins-264533,False
Fresh Side Pork Bacon Recipe,"salt, pork, pork",http://www.grouprecipes.com/9943/fresh-side-pork-bacon.html,False
Awesome High Heat Holiday Turkey,"chicken broth, black pepper, olive oil, turkey",http://www.recipezaar.com/Awesome-High-Heat-Holiday-Turkey-145046,False
Just In Time Roast Turkey Breast Recipe,"mayonnaise, bread crumbs, rosemary, thyme, turkey",http://www.grouprecipes.com/74511/just-in-time-roast-turkey-breast.html,False
Kittencal's Blasted Rapid Roast 2-Hour Whole Turkey,"black pepper, margarine, salt, water, turkey",http://www.recipezaar.com/Kittencals-Blasted-Rapid-Roast-Whole-Turkey-271595,False
Basic Turkey Meat Sauce,"red pepper flakes, tomato, basil, oregano, garlic, turkey, olive oil, onions, tomato sauce",http://www.recipezaar.com/Basic-Turkey-Meat-Sauce-155524,False
Easy Crock Pot Turkey Legs,"garlic salt, olive oil, paprika, salt, turkey legs",http://www.recipezaar.com/Easy-Crock-Pot-Turkey-Legs-270285,False
Fried Turkey Brined in Cayenne and Brown Sugar,"cayenne, water, dijon mustard, garlic, kosher salt, kosher salt, brown sugar, vegetable oil, thyme, turkey",http://www.recipezaar.com/Fried-Turkey-Brined-in-Cayenne-and-Brown-Sugar-144987,False
Gilded Saffron and Butter Basted Roast Turkey With Herb Garland,"butter, thyme, lemon, onions, black pepper, rosemary, salt, turkey",http://www.recipezaar.com/Gilded-Saffron-and-Butter-Basted-Roast-Turkey-With-Herb-Garland-271576,False
Giorgio Locatelli's Turkey Meatballs in Sweet and Sour Sauce,"potato, turkey, bread, eggs, garlic, lemon zest, milk, parmesan cheese, parsley, sunflower oil, bread crumbs",http://www.recipezaar.com/Giorgio-Locatellis-Turkey-Meatballs-in-Sweet-and-Sour-Sauce-148843,False
Great Basic Turkey  Stock,"bay leaf, carrot, celery, white wine, parsley, thyme, garlic, onions, turkey",http://www.recipezaar.com/Great-Basic-Turkey-Stock-276156,False
Sweet Potato and Turkey Shepherd's Pie,"browning sauce, carrot, celery, chicken broth, corn, egg substitute, flour, garlic, stuffing, sour cream, milk, nutmeg, olive oil, onions, peas, poultry seasoning, potato, black pepper, black pepper, sweet potato, turkey, worcestershire sauce",http://allrecipes.com/Recipe/Sweet-Potato-and-Turkey-Shepherds-Pie/Detail.aspx,False
All Purpose Ground Meat Mix,"celery, garlic, green pepper, ground beef, onions, black pepper, salt",http://www.recipezaar.com/All-Purpose-Ground-Meat-Mix-31008,False
Moms Meat Loaf Recipe,"green beans, barley, eggs, ground beef, seasoning, bread crumbs",http://www.grouprecipes.com/76908/moms-meat-loaf.html,False
All-Purpose Rub for Meat,"black pepper, oregano, thyme, mustard powder, paprika, salt, sugar",http://allrecipes.com/Recipe/All-Purpose-Rub-for-Meat/Detail.aspx,True
Natchitoches Meat Pies,"beef broth, celery, vegetable oil, eggs, garlic, green pepper, ground meat, ground pork, onions, pie crust, red pepper, salt, water",http://www.recipezaar.com/Natchitoches-Meat-Pies-315567,False
Bolognese Sauce - Traditional Italian Meat-Based Sauce for Pasta,"allspice, carrot, celery, basil, oregano, red wine, olive oil, black pepper, garlic, green pepper, ground beef, sausage, lemon zest, pancetta, parmigiano-reggiano cheese, salt, tomato, butter, whole milk, mushroom, yellow onions",http://www.recipezaar.com/Bolognese-Sauce-Traditional-Italian-Meat-Based-Sauce-for-Pasta-347336,False
"Canned Meat, Canning Turkey Thighs Yummy!","turkey thighs, black pepper, salt, water",http://www.recipezaar.com/Canned-Meat-Canning-Turkey-Thighs-Yummy-44111,False
Betty Crockers Meat Loaf Recipe,"brown sugar, mustard, oatmeal, ketchup, milk, eggs, garlic, hamburger, onions, black pepper, sage, mustard powder, worcestershire sauce, salt",http://www.grouprecipes.com/18814/betty-crockers-meat-loaf.html,False
George's No Meat Shepherds Pie,"butter, butter, carrot, cheese, cornflour, cracked black pepper, eggs, garlic, milk, mushroom, potato",http://www.recipezaar.com/Georges-No-Meat-Shepherds-Pie-313088,False
French Meat Pie,"allspice, ground beef, vegetable oil, eggs, onions, pie crust, black pepper, ground pork, potato, salt",http://allrecipes.com/Recipe/French-Meat-Pie/Detail.aspx,False
Good Old Meat Pie,"beef broth, black pepper, carrot, beef, oregano, flour, garlic powder, peas, margarine, onions, potato, pastry",http://allrecipes.com/Recipe/Good-Old-Meat-Pie/Detail.aspx,False
Cheese on Toast  - Cheap and Cheerful British Toasted Cheese,"cheddar cheese, bread, mustard, salt, worcestershire sauce",http://www.recipezaar.com/Cheese-on-Toast-Cheap-and-Cheerful-British-Toasted-Cheese-349789,False
Creamy Pasta and Cheese Ww Style,"spinach, mozzarella cheese, ricotta cheese, garlic, olive oil, salt, tomato, pasta",http://www.recipezaar.com/Creamy-Pasta-and-Cheese-Ww-Style-288453,False
Fluffy Creamy Cream Cheese Frosting (Lower Fat/Cal),"butter, neufchatel cheese, powdered sugar, skim milk, splenda, vanilla extract",http://www.recipezaar.com/Fluffy-Creamy-Cream-Cheese-Frosting-Lower-FatCal-321954,False
For Diabetics - Low Fat Cream Cheese,"citric acid, milk, water",http://www.recipezaar.com/For-Diabetics-Low-Fat-Cream-Cheese-167850,False
Traditional English Cheddar Cauliflower Cheese - Gratin,"butter, cauliflower, cheddar cheese, mustard, breadcrumbs, milk, nutmeg, flour, salt",http://www.recipezaar.com/Traditional-English-Cheddar-Cauliflower-Cheese-Gratin-216237,False
"Crackers, Cream Cheese, and Pepper Jelly","cream cheese, jalapeno, wheat crackers",http://www.recipezaar.com/Crackers-Cream-Cheese-and-Pepper-Jelly-289459,False
Blarney Grilled Cheese &amp; Chutney Sandwich,"butter, cheese, chutney, bread",http://www.recipezaar.com/Blarney-Grilled-Cheese-Chutney-Sandwich-205758,False
Fresh White Cheese Or Yogurt Cheese With Blue Cheese Recipe,"garlic, yogurt, blue cheese",http://www.grouprecipes.com/55894/fresh-white-cheese-or-yogurt-cheese-with-blue-cheese.html,False
Baked Mac and Cheese Casserole,"broccoli, olive oil, garlic, green pepper, heavy cream, elbow macaroni, mexican cheese blend, mushroom, onions, ricotta cheese",http://www.recipezaar.com/Baked-Mac-and-Cheese-Casserole-317328,False
Herbed Fresh White Cheese Or Yogurt Cheese Recipe,"lemon juice, hot sauce, yogurt, salt, butter, tarragon, garlic, white pepper",http://www.grouprecipes.com/55890/herbed-fresh-white-cheese-or-yogurt-cheese.html,False
BBQ Chicken Pizza,"chicken, brown sugar, cayenne, garlic salt, green pepper, honey, italian cheese blend, salad dressing, margarine, molasses, onions, barbecue sauce, black pepper, prepared pizza crust, provolone cheese, ranch dressing, salt",http://www.recipezaar.com/BBQ-Chicken-Pizza-144689,False
Basic Chicago-style Pizza Recipe,"pizza, vegetable oil, cornmeal, water, flour, sausage, provolone cheese, olive oil, tomato, yeast, pepperoni, salt, salt, sugar, basil, oregano",http://www.grouprecipes.com/65487/basic-chicago-style-pizza.html,False
BBQ'd Cheeseburger Pizza,"barbecue sauce, cheddar cheese, onions, tomato, dill pickle, dill relish, parsley, french dressing, garlic powder, ground beef, lettuce, mayonnaise, mozzarella cheese, pizza dough, mustard",http://www.recipezaar.com/BBQd-Cheeseburger-Pizza-299376,False
Healthy Italian Bread Sticks or Pizza Crust,"brown sugar, garlic powder, italian seasoning, olive oil, onion powder, salt, flour, water, flour, yeast",http://www.recipezaar.com/Healthy-Italian-Bread-Sticks-or-Pizza-Crust-252423,True
Bacon Cheeseburger Pizza,"bacon, black pepper, cheddar cheese, garlic, ground beef, mozzarella cheese, onions, parmesan cheese, pizza sauce, salt",http://www.recipezaar.com/Bacon-Cheeseburger-Pizza-205270,False
Cinnamon Pizza Sticks With Dipping Glaze,"butter, cinnamon, pizza dough, sugar",http://www.recipezaar.com/Cinnamon-Pizza-Sticks-With-Dipping-Glaze-167598,False
Gluten Free Pepperoni Pizza Quesadilla,"mozzarella cheese, nonstick cooking spray, pizza sauce, tortilla, pepperoni",http://www.recipezaar.com/Gluten-Free-Pepperoni-Pizza-Quesadilla-302814,False
Italian Escarole Pizza,"garlic, escarole, mozzarella cheese, olive oil, pizza sauce, salt",http://allrecipes.com/Recipe/Italian-Escarole-Pizza/Detail.aspx,False
Goat Cheese Arugula Pizza - No Red Sauce!,"arugula, garlic, olive oil, pesto, roma tomato, pizza crust",http://allrecipes.com/Recipe/Goat-Cheese-Arugula-Pizza---No-Red-Sauce/Detail.aspx,True
Easy Peezy Pizza Dough (Bread Machine Pizza Dough),"bread flour, yeast, olive oil, salt, sugar, water, water",http://www.recipezaar.com/EAZY-PEEZY-PIZZA-DOUGH-Bread-Machine-Pizza-Dough-35805,True
Strawberry Cake With Strawberry Cream Cheese Frosting Recipe,"cake, eggs, whole milk, strawberries, powdered sugar, corn, pecan, pecan, strawberries, strawberries",http://www.grouprecipes.com/10211/strawberry-cake-with-strawberry-cream-cheese-frosting.html,False
Chocolate-strawberry Shortcake,"baking soda, berries, butter, butter, cool whip, eggs, flour, strawberries, powdered sugar, salt, semisweet chocolate, semisweet chocolate, sugar, sugar, vanilla extract, vanilla extract, vanilla extract, water, water",http://www.recipezaar.com/Chocolate-strawberry-Shortcake-122026,False
Banana Strawberry Bread,"flour, baking powder, baking soda, eggs, sugar, cinnamon, banana, nutmeg, salt, strawberries, applesauce",http://www.recipezaar.com/Banana-Strawberry-Bread-241832,False
Strawberry Crush Cooler,"water, ice, lemon juice, lime, mint, salt, strawberries",http://www.recipezaar.com/Strawberry-Crush-Cooler-91739,True
Striking Strawberry Cake,"eggs, strawberries, vegetable oil, strawberries, water, cake mix",http://www.recipezaar.com/Striking-Strawberry-Cake-24713,False
Dorion Strawberry Pie,"pie crust, cornstarch, cream cheese, strawberries, strawberries, sugar, water",http://www.recipezaar.com/Dorion-Strawberry-Pie-179663,False
Nanas Strawberry Icing Recipe,"egg whites, powdered sugar, strawberries",http://www.grouprecipes.com/53398/nanas-strawberry-icing.html,True
Low-cal Strawberry Cream Pie Recipe,"strawberries, strawberries, unflavored gelatin, lemonade, mint, orange juice, ladyfingers, egg whites, sugar, tequila",http://www.grouprecipes.com/7210/low-cal-strawberry-cream-pie.html,True
Strawberry Spinach Salad,"balsamic vinaigrette, bacon",http://allrecipes.com/Recipe/Strawberry-Spinach-Salad/Detail.aspx,True
Strawberry Shortcake Hot Milk Drink,"almond syrup, whipped cream, milk, strawberries, strawberries, strawberries",http://allrecipes.com/Recipe/Strawberry-Shortcake-Hot-Milk-Drink/Detail.aspx,False
Lemon Poke Cake II,"powdered sugar, eggs, lemon juice, vegetable oil, water",http://allrecipes.com/Recipe/Lemon-Poke-Cake-II/Detail.aspx,False
Lemon Poke Cake I,"powdered sugar, eggs, orange juice, vegetable oil, vegetable oil, water, water",http://allrecipes.com/Recipe/Lemon-Poke-Cake-I/Detail.aspx,False
Poke Salad Recipe,"green onion, bacon, leaves",http://www.grouprecipes.com/7810/poke-salad.html,True
Poke Sallet With Potlikker Recipe,ham hock,http://www.grouprecipes.com/40111/poke-sallet-with-potlikker.html,True
Big Island Poke,"baby bok choy, fish fillets, garlic, ginger, onions, red pepper, red pepper flakes, vegetable oil, peas, soy sauce",http://www.recipezaar.com/Big-Island-Poke-212348,False
Slow Poke Jambalaya In The Crock Pot Recipe,"beef broth, cayenne, celery, chicken, garlic, green pepper, oregano, parsley, rice, salt, shrimp, smoked sausage, thyme, tomato, onions",http://www.grouprecipes.com/53693/slow-poke-jambalaya-in-the-crock-pot.html,False
Be Creative Try This Luscious Lemon Poke Cake Recipe,"milk, jello, jello, cake, whipped topping, water",http://www.grouprecipes.com/80516/be-creative-try-this-luscious-lemon-poke-cake.html,False
Ahi Poke Recipe,"green onion, soy sauce, red pepper, macadamia nuts, tbsp of, sesame seed",http://www.grouprecipes.com/46/ahi-poke.html,True
Jello Poke Cake Recipe,"cake mix, jello, pudding, cool whip",http://www.grouprecipes.com/57306/jello-poke-cake.html,True
Family Favorite Poke Cake,"whipped topping, milky way bars, ice cream, condensed milk, cake mix",http://www.recipezaar.com/Family-Favorite-Poke-Cake-174184,False
Crock Pot Apple Butter,"apple cider, brown sugar, granny smith apple, cinnamon, cloves, nutmeg, lemon juice",http://www.recipezaar.com/Crock-Pot-Apple-Butter-236359,True
Apple Cinnamon Oatmeal - Ww Points 4.5,"cinnamon, milk, oatmeal, raisins, sugar substitute, applesauce",http://www.recipezaar.com/Apple-Cinnamon-Oatmeal-Ww-Points-45-317235,False
Chemical Apple Pie (No Apple Apple Pie),"butter, crackers, cinnamon, cream of tartar, pastry, water, sugar",http://allrecipes.com/Recipe/Chemical-Apple-Pie-No-Apple-Apple-Pie/Detail.aspx,False
Apple Butter Barbecue Sauce,"apple butter, apple cider vinegar, brown sugar, black pepper, garlic, ketchup, kosher salt, liquid smoke flavoring, onions, paprika, mustard, red pepper flakes, worcestershire sauce",http://www.recipezaar.com/Apple-Butter-Barbecue-Sauce-263228,False
Apple Cider Sorbet,"apple cider, sugar, water",http://www.recipezaar.com/Apple-Cider-Sorbet-187136,True
Apple Pie by Grandma Ople,"allspice, apple cider, brown sugar, cornstarch, pastry, apple, butter, vanilla extract, sugar",http://www.recipezaar.com/Apple-Pie-by-Grandma-Ople-330370,False
Apple Pie Filling - Canned or You Can Freeze It!,"apple, cinnamon, cornstarch, lemon juice, nutmeg, salt, sugar, water, food coloring",http://www.recipezaar.com/Apple-Pie-Filling-Canned-or-You-Can-Freeze-It-335405,True
Easy Dutch Apple Pie,"brown sugar, butter, cornstarch, flour, oats, sugar, apple, vanilla extract, water",http://www.recipezaar.com/Easy-Dutch-Apple-Pie-37143,False
Creamy Caramel Apple Dip,"caramel, cream cheese",http://www.recipezaar.com/Creamy-Caramel-Apple-Dip-101345,False
Double Crust Apple Butter Bars,"apple, brown sugar, butter, cinnamon, flour, oatmeal, shortening, sugar",http://www.recipezaar.com/Double-Crust-Apple-Butter-Bars-195934,False
Cheesy Broccoli,"flour, blue cheese, broccoli, butter, cheddar cheese, cream cheese, black pepper, milk, walnut",http://www.recipezaar.com/Cheesy-Broccoli-52898,False
Creamy &amp; Easy Broccoli Slaw,"coleslaw, buttermilk, cider vinegar, lemon juice, mayonnaise, milk, onions, peanuts, black pepper, salt, sugar",http://www.recipezaar.com/Creamy-Easy-Broccoli-Slaw-305727,False
Broccoli Casserole With No &quot;cream of Something&quot; Soups!,"flour, bread crumbs, butter, cheddar cheese, cream cheese, broccoli, garlic, milk, black pepper, salt",http://www.recipezaar.com/Broccoli-Casserole-With-No-cream-of-Something-Soups-335597,False
Cheesy Broccoli Bacon Chicken Casserole,"bacon, bacon grease, broccoli, chicken, chicken broth, cream cheese, garlic powder, black pepper, milk, monterey jack cheese, monterey jack cheese, parmesan cheese, sour cream",http://www.recipezaar.com/Cheesy-Broccoli-Bacon-Chicken-Casserole-70673,False
Microwave Lemon Garlic Broccoli,"broccoli, garlic, lemon juice, olive oil, red pepper flakes, salt, water",http://www.recipezaar.com/Microwave-Lemon-Garlic-Broccoli-132765,True
Broccoli Casserole,"cheddar cheese, broccoli, margarine, cream of mushroom soup, bread crumbs",http://www.recipezaar.com/Broccoli-Casserole-5092,False
Italian Broccoli With Bacon,"bacon, broccoli, salad dressing, mushroom, onions",http://www.recipezaar.com/Italian-Broccoli-With-Bacon-131463,True
Annie's Broccoli Salad,"bacon, broccoli, red onions, cheddar cheese",http://www.recipezaar.com/Annies-Broccoli-Salad-85157,False
Best Ever Broccoli Salad,"bacon, mayonnaise, broccoli, mushroom, raisins, red wine vinegar, sugar, sunflower seed",http://www.recipezaar.com/Best-Ever-Broccoli-Salad-227695,True
Broccoli Bread Filling,"broccoli, white wine, garlic, olive oil, onions, black pepper, salt",http://www.recipezaar.com/Broccoli-Bread-Filling-64779,True
Easy Home Made Pasta Dough Recipe,"eggs, flour, olive oil, water, baking powder, pasta dough",http://www.grouprecipes.com/69063/easy-home-made-pasta-dough.html,False
Fresh Pasta - Basic Pasta Dough Recipe,"eggs, wheat",http://www.grouprecipes.com/2470/fresh-pasta---basic-pasta-dough.html,False
Filomena's Pasta Fresca,"eggs, flour",http://www.recipezaar.com/Filomenas-Pasta-Fresca-272132,False
Pasta Fazool  (Pasta and Beans With Sausage),"cayenne, oregano, thyme, parsley, garlic, ground beef, black pepper, sausage, kidney bean, onions, parmesan cheese, penne, tomato, provolone cheese, salt, tomato paste",http://www.recipezaar.com/Pasta-Fazool-Pasta-and-Beans-With-Sausage-102506,False
Tomato Pasta Salad,"buttermilk, basil, fusilli, garlic, black pepper, mayonnaise, tomato, salt, sugar, tomato",http://www.recipezaar.com/Tomato-Pasta-Salad-12345,False
Antipasto Pasta Salad,"cherry tomato, green pepper, italian dressing, pasta, cherry pepper, olives, provolone cheese, salami",http://www.recipezaar.com/Antipasto-Pasta-Salad-154953,False
Balsamic Vinaigrette Pasta Salad,"asparagus, balsamic vinaigrette, olives, carrot, ham, pasta, gouda cheese, tomato, yellow bell pepper",http://www.recipezaar.com/Balsamic-Vinaigrette-Pasta-Salad-97251,False
Pasta Prosciutto Recipe,"mushroom, parmesan cheese, romano cheese, eggs, garlic, pasta, prosciutto, spinach, butter, chicken broth",http://www.grouprecipes.com/28307/pasta-prosciutto.html,False
Cheddar Squash &amp; Pasta,"cheddar cheese, bread crumbs, nonstick cooking spray, flour, margarine, milk, pasta, salt, summer squash",http://www.recipezaar.com/Cheddar-Squash-Pasta-193175,False
Curry Pasta,"butter, bread, curry powder, pasta, coconut, vegetable broth",http://www.recipezaar.com/Curry-Pasta-129865,False
Variety Of Sushi Recipe,"rice, rice vinegar, cucumber, eggs, fish, pickle, tofu, sesame seed",http://www.grouprecipes.com/13319/variety-of-sushi.html,False
Minado's Perfect Sushi Rice,"mirin, rice vinegar, salt, sugar, rice, water",http://www.recipezaar.com/Minados-Perfect-Sushi-Rice-119373,True
Avocado Sushi Recipe,"sesame seed, rice vinegar, salt, rice, water, soy sauce, ginger, sugar, wasabi",http://www.grouprecipes.com/23137/avocado-sushi.html,True
Desperate for Sushi,"rice, cucumber, mayonnaise, ginger, rice vinegar, salmon, soy sauce, sesame seeds, wasabi",http://www.recipezaar.com/Desperate-for-Sushi-280651,True
Perfect Sushi Rice,"rice, rice vinegar, salt, vegetable oil, water, sugar",http://allrecipes.com/Recipe/Perfect-Sushi-Rice/Detail.aspx,True
Tamago  Yaki(sushi Omelette),"dashi stock, eggs, mirin, salt, soy sauce, sugar",http://www.recipezaar.com/Tamago-Yakisushi-Omelette-119558,False
Sushi Rice,"rice, rice vinegar, salt, sugar, water",http://www.epicurious.com/recipes/food/views/Sushi-Rice-103278,True
Avocado and Shrimp Sushi,"avocado, chives, cucumber, cilantro, rice vinegar, rice, shrimp, wasabi",http://www.recipezaar.com/Avocado-and-Shrimp-Sushi-331300,False
Fake Unagi Sushi Recipe,"rice, fish fillets, soy sauce, wasabi",http://www.grouprecipes.com/13992/fake-unagi-sushi.html,False
California Sushi Roll Flavoured Dip Recipe,"lime juice, wasabi, avocado, crab meat, mayonnaise, green onion",http://www.grouprecipes.com/73687/california-sushi-roll-flavoured-dip.html,False
Devious Diners Devilishly Delicious Southwest Burger,"buffalo, buns, onion rings, green chilies, guacamole, jalapeno, lettuce, salsa, sour cream, taco seasoning, tomato",http://www.recipezaar.com/Devious-Diners-Devilishly-Delicious-Southwest-Burger-232118,False
Bergy's Wowser'  (As in Wow) Burger BLTmc,"bacon, cheese, garlic, mushroom, hot sauce, sandwich rolls, beef, salad greens, salt, onions, tomato, worcestershire sauce",http://www.recipezaar.com/Bergys-Wowser-As-in-Wow-Burger-BLTmc-116049,False
A Doozie of a Floozie Burger,"butter, cajun seasoning, cheese, dill pickle, eggs, ground beef, hamburger bun, lettuce, mayonnaise, black pepper, mushroom, onions, tomato",http://www.recipezaar.com/A-Doozie-of-a-Floozie-Burger-231245,False
Bacon &amp; Tomato Burger,"bacon, cheese, garlic, ground beef, hamburger bun, mushroom, salt, sun dried tomato, onions, tomato, worcestershire sauce",http://www.recipezaar.com/Bacon-Tomato-Burger-307887,False
Bastille Burger - Bearnaise Blue Cheese And Red Onion Burger Recipe,"sauce, sauce, black pepper, butter, dijon mustard, egg yolks, blue cheese, beef, hamburger bun, lettuce, onions, black pepper, red onions, tarragon, tomato, white wine vinegar",http://www.grouprecipes.com/51383/bastille-burger---bearnaise-blue-cheese-and-red-onion-burger.html,False
Rice Burger Recipe,"sugar, mirin, wine, soy sauce, leaves, chicken, pork, fish, tomato sauce, onions, onions, vegetable, chicken, tomato",http://www.grouprecipes.com/2743/rice-burger.html,False
Badass Turkey Burger With Wasabi Mayo Recipe,"garlic, black pepper, turkey, red onions, black pepper, hoisin sauce, mayonaise, sugar, wasabi",http://www.grouprecipes.com/28714/badass-turkey-burger-with-wasabi-mayo.html,False
Carne Asada Burger,"cottage cheese, mushroom, hamburger bun, ground beef, salsa, salt",http://www.recipezaar.com/Carne-Asada-Burger-88760,False
Chef Joey's Organic Chicken &amp; Mushroom Burger,"bulgur, garlic chives, garlic, chicken, vegetable broth, mushroom, black pepper, worcestershire sauce",http://www.recipezaar.com/Chef-Joeys-Organic-Chicken-Mushroom-Burger-243061,False
Gooey Jack Burger,"barbecue sauce, ground beef, lettuce, monterey jack cheese, red onions, tomato",http://www.recipezaar.com/Gooey-Jack-Burger-67216,False
BBQ Chicken &amp; Rice Burrito (Cowboy Crunch Burrito),"barbecue sauce, chicken, cajun seasoning, cheese, ranch dressing, lettuce, rice, tomato, tortilla chips, tortilla",http://www.recipezaar.com/BBQ-Chicken-Rice-Burrito-Cowboy-Crunch-Burrito-333095,False
Breakfast Burrito Ala Idaho,"cheddar cheese, bacon, eggs, potato, salsa, sour cream, tortilla",http://www.recipezaar.com/Breakfast-Burrito-Ala-Idaho-258113,False
California Burrito,"cheddar cheese, flour tortillas, french fries, sour cream",http://www.recipezaar.com/California-Burrito-235359,False
Chili Taco / Burrito / Fajita Sauce,"beans, chili powder, tomato, garlic, ground beef, onions, red kidney beans, salt, tomato juice",http://www.recipezaar.com/Chili-Taco-Burrito-Fajita-Sauce-113084,False
Mexican Burrito Bowl,"rice, black beans, green chilies, cilantro, garlic, chicken, lime, mexican cheese blend, onions, salsa, sour cream, tortilla chips, butter, water, white wine",http://www.recipezaar.com/mexican-burrito-bowl-374401,False
Shannon's Slammin' Grilled Bean Burrito,"cheddar cheese, sour cream, refried beans, flour tortillas, spinach, taco sauce, tomato",http://www.recipezaar.com/Shannons-Slammin-Grilled-Bean-Burrito-27601,False
Burrito Bananas Foster,"banana, brown sugar, butter, vanilla ice cream, rum, toothpicks, vegetable oil, walnut, water",http://allrecipes.com/Recipe/Burrito-Bananas-Foster/Detail.aspx,False
Salsa Chicken Burrito Filling,"chicken, chili powder, cumin, garlic, salsa, hot sauce",http://allrecipes.com/Recipe/Salsa-Chicken-Burrito-Filling/Detail.aspx,False
Sunken Meat Burrito,"colby cheese, onion powder, flour tortillas, hot sauce, sour cream",http://www.recipezaar.com/Sunken-Meat-Burrito-16238,False
Bean Burrito Dip,"jalapeno, tortilla chips, onions, pinto beans, refried beans, tomato, cheddar cheese, sour cream",http://www.recipezaar.com/Bean-Burrito-Dip-197642,False
